,target,slct_method,feature_count,c,cv_score,op_hyperparameters,train_accuracy,test_accuracy,auc,f1,precision,recall,coef_pcps,coef_blink,coef_perf,coef_tct_cycle,coef_training,coef_CC,coef_DC,coef_PR,sel_pcps,sel_blink,sel_perf,sel_tct_cycle,sel_training,sel_CC,sel_DC,sel_PR
94,hist_4,K-Best,6,3.0,0.6047619047619048,{'base_model__C': 3},0.7142857142857143,0.7037037037037037,0.5779201680672268,0.4347222222222222,0.4347826086956521,0.5357142857142857,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,0,1,0,1,1,1,1,1
95,hist_4,K-Best,7,2.0,0.6547619047619049,{'base_model__C': 2},0.7301587301587301,0.7407407407407407,0.552563025210084,0.4846153846153846,0.4848484848484848,0.5714285714285714,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,0,1,1,1,1,1,1,1
96,hist_4,K-Best,8,0.5,0.5761904761904763,{'base_model__C': 0.5},0.6507936507936508,0.5185185185185185,0.6164495798319327,0.2083333333333333,0.1977272727272727,0.2268907563025209,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,1,1,1,1,1,1,1,1
97,cluster_2,K-Best,1,0.5,0.5452380952380952,{'base_model__C': 0.5},0.5873015873015873,0.6296296296296297,0.3470588235294117,0.3863636363636363,0.3148148148148148,0.5,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,0,0,1,0,0,0,0
98,cluster_2,K-Best,2,0.6,0.5,{'base_model__C': 0.6},0.5873015873015873,0.6296296296296297,0.4352941176470588,0.3863636363636363,0.3148148148148148,0.5,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,0,0,1,1,0,0,0
99,cluster_2,K-Best,3,3.0,0.5642857142857143,{'base_model__C': 3},0.6031746031746031,0.7407407407407407,0.2941176470588235,0.7157894736842105,0.7222222222222222,0.7117647058823529,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,0,0,1,1,1,1,0
100,cluster_2,K-Best,4,5.0,0.5880952380952381,{'base_model__C': 5},0.6984126984126984,0.6666666666666666,0.4235294117647059,0.5846153846153846,0.6409090909090909,0.5911764705882353,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,1,0,1,1,1,1,0
101,cluster_2,K-Best,5,0.5,0.5738095238095239,{'base_model__C': 0.5},0.7301587301587301,0.7037037037037037,0.7058823529411765,0.6666666666666667,0.680921052631579,0.6617647058823529,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,1,1,1,1,1,1,0
102,cluster_2,K-Best,6,7.0,0.6261904761904762,{'base_model__C': 7},0.6666666666666666,0.7037037037037037,0.8117647058823529,0.7,0.7087912087912087,0.723529411764706,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,0,1,1,1,1,1,1
103,cluster_2,K-Best,7,6.0,0.6238095238095238,{'base_model__C': 6},0.7142857142857143,0.7037037037037037,0.7235294117647059,0.6666666666666667,0.680921052631579,0.6617647058823529,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,1,1,1,1,1,1,1
